epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,316.137,1.74485,6.84565,0.0022,0.46082,0.11266,0.10776,0.06969,1.41965,1.78829,0.00258,0.00997899,0.00332633,0.00997899,0.00332633,0.00997899,0.00332633,0.00997899,0.00332633
2,624.408,1.59895,3.78033,0.00191,0.45416,0.24316,0.24099,0.15939,1.35347,1.31269,0.00255,0.0199741,0.00665804,0.0199741,0.00665804,0.0199741,0.00665804,0.0199741,0.00665804
3,935.418,1.61263,1.91744,0.00194,0.49466,0.29913,0.29934,0.18812,1.47379,1.56552,0.00282,0.0299497,0.00998324,0.0299497,0.00998324,0.0299497,0.00998324,0.0299497,0.00998324
4,1246.29,1.60568,1.44791,0.00197,0.4608,0.35873,0.36376,0.23829,1.32788,1.09967,0.00252,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,1552.18,1.55585,1.28756,0.00188,0.52854,0.37927,0.40628,0.26845,1.29787,1.03424,0.00246,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,1861.52,1.51635,1.20362,0.00182,0.55558,0.40296,0.45296,0.30185,1.28512,0.94114,0.00242,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,2171.6,1.48934,1.15258,0.00179,0.5717,0.42354,0.47497,0.32506,1.21949,0.90173,0.00225,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,2480.76,1.4716,1.11796,0.00175,0.62357,0.43773,0.50767,0.34054,1.23186,0.85282,0.0023,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,2789.74,1.4556,1.08646,0.00173,0.62694,0.43604,0.5343,0.36297,1.23232,0.85975,0.00227,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,3078.63,1.43706,1.04975,0.00171,0.63943,0.47328,0.57304,0.39414,1.19736,0.78146,0.00222,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,3356.16,1.4241,1.02508,0.00168,0.6419,0.53402,0.58583,0.41036,1.16026,0.75071,0.00213,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,3637.45,1.41628,1.0119,0.00167,0.64257,0.50878,0.61025,0.42587,1.15724,0.72217,0.00214,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,3945.67,1.41255,1.00047,0.00166,0.58931,0.5416,0.60554,0.41915,1.14225,0.71381,0.0021,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,4253.22,1.40297,0.98194,0.00166,0.65127,0.56001,0.63967,0.44516,1.12874,0.68928,0.00207,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,4564.14,1.39721,0.9716,0.00165,0.6619,0.55929,0.65418,0.45928,1.11478,0.66805,0.00204,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,4850.35,1.39721,0.95877,0.00164,0.68312,0.57851,0.66581,0.46902,1.11169,0.64726,0.00202,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,5134.81,1.38638,0.94647,0.00163,0.61252,0.64832,0.68774,0.48492,1.09721,0.63965,0.00199,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,308.958,1.37582,0.92267,0.00162,0.64646,0.62245,0.69152,0.49137,1.08421,0.61999,0.00196,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,594.924,1.37645,0.9176,0.00162,0.66599,0.62535,0.6981,0.49505,1.0776,0.61942,0.00195,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,344.239,1.34314,0.85884,0.00157,0.71976,0.58232,0.71563,0.50874,1.0718,0.60208,0.00194,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,654.495,1.34974,0.87121,0.00158,0.67416,0.65381,0.71965,0.51244,1.06667,0.59159,0.00193,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,959.309,1.37033,0.89534,0.0016,0.67398,0.66412,0.72765,0.52154,1.06511,0.58361,0.00192,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,1261.99,1.36555,0.89025,0.00161,0.66028,0.67804,0.73648,0.5267,1.05924,0.57569,0.00191,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,1579.55,1.36142,0.8787,0.00159,0.72119,0.65667,0.75135,0.53904,1.0527,0.56855,0.0019,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,1893.41,1.35459,0.86395,0.00159,0.67808,0.67722,0.74036,0.53505,1.04772,0.56641,0.00189,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
26,2203.57,1.35069,0.8618,0.00158,0.70576,0.66783,0.76166,0.54645,1.04258,0.55142,0.00188,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
27,2512.7,1.34947,0.85732,0.00157,0.69516,0.69034,0.76439,0.54692,1.04129,0.54755,0.00187,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
28,2818.31,1.34601,0.85237,0.00158,0.72504,0.69119,0.76743,0.55411,1.03651,0.54227,0.00187,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
29,308.403,1.31814,0.79703,0.00154,0.72117,0.694,0.7759,0.56148,1.03273,0.53812,0.00186,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
30,609.014,1.32806,0.80956,0.00155,0.73098,0.70089,0.78854,0.5697,1.03095,0.53316,0.00186,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,916.264,1.33193,0.80954,0.00155,0.71877,0.70553,0.79274,0.57307,1.02947,0.53044,0.00185,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,1223.5,1.32373,0.80432,0.00155,0.68604,0.72882,0.79114,0.57093,1.03049,0.5286,0.00185,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,1531.25,1.33034,0.80305,0.00154,0.69805,0.72677,0.79448,0.57556,1.02933,0.52449,0.00185,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,1841.16,1.31902,0.79316,0.00154,0.70519,0.72898,0.79666,0.57827,1.0262,0.52262,0.00184,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,2147.63,1.31835,0.78307,0.00153,0.71588,0.73053,0.8001,0.58165,1.02431,0.51964,0.00184,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
